1,10,0,10,0,1.035,100,1,20,16,U20
1,10,0,10,0,1.035,100,1,20,16,U20
1,76,0,30,-25,1.035,100,1,76,15.2,U76
1,76,0,30,-25,1.035,100,1,76,15.2,U76
2,10,0,10,0,1.035,100,1,20,16,U20
2,10,0,10,0,1.035,100,1,20,16,U20
2,76,0,30,-25,1.035,100,1,76,15.2,U76
2,76,0,30,-25,1.035,100,1,76,15.2,U76
7,80,0,60,0,1.025,100,1,100,25,U100
7,80,0,60,0,1.025,100,1,100,25,U100
7,80,0,60,0,1.025,100,1,100,25,U100
13,95.1,0,80,0,1.02,100,1,197,69,U197
13,95.1,0,80,0,1.02,100,1,197,69,U197
13,95.1,0,80,0,1.02,100,1,197,69,U197
14,0,35.3,200,-50,0.98,100,1,0,0,SynCond
15,12,0,6,0,1.014,100,1,12,2.4,U12
15,12,0,6,0,1.014,100,1,12,2.4,U12
15,12,0,6,0,1.014,100,1,12,2.4,U12
15,12,0,6,0,1.014,100,1,12,2.4,U12
15,12,0,6,0,1.014,100,1,12,2.4,U12
15,155,0,80,-50,1.014,100,1,155,54.3,U155
16,155,0,80,-50,1.017,100,1,155,54.3,U155
18,400,0,200,-50,1.05,100,1,400,100,U400
21,400,0,200,-50,1.05,100,1,400,100,U400
22,50,0,16,-10,1.05,100,1,50,10,U50
22,50,0,16,-10,1.05,100,1,50,10,U50
22,50,0,16,-10,1.05,100,1,50,10,U50
22,50,0,16,-10,1.05,100,1,50,10,U50
22,50,0,16,-10,1.05,100,1,50,10,U50
22,50,0,16,-10,1.05,100,1,50,10,U50
23,155,0,80,-50,1.05,100,1,155,54.3,U155
23,155,0,80,-50,1.05,100,1,155,54.3,U155
23,350,0,150,-25,1.05,100,1,350,140,U350
